"PlantID_final","Easting","Northing","Altitude"
"M1719",-920.893933938001,474.154959339648,1424.95
"M1722",-668.096824295993,389.328630999662,1411.95
"M1723",-921.963529210014,474.163387539797,1423.09
"M1724",-678.886698939023,386.650636689737,1418.33
"M1725",-681.318912281014,388.961591919884,1414.98
"M1726",-926.055687632004,471.552061649971,1420.27
"M1727",317.997804198996,-381.477537550032,1133.4
"M1728",-921.422585421009,477.311263349839,1425.15
"M1729",-682.215655573003,387.728770690039,1412.6
"K0582",336.607152989018,-394.971392289735,1123.97
"K0584",318.036751568026,-383.255861099809,1127.99
"M1732",313.407405546983,-382.527281760238,1129.25
"M1733",-663.685970881023,385.641189300455,1417.9
"M1734",-934.967019248987,480.782810930163,1426.61
"M1735",-682.098546124005,389.001230739988,1414.13
"M1740",-850.27796690102,434.751269750297,1417.69
"M1741",-858.194263253012,438.879341320135,1417.61
"M1742",-673.136296656972,390.143437890336,1414.82
"M1743",-686.832136465993,387.351826810278,1411.44
"M1744",330.015803445014,-388.202728459612,1129.81
"M1746",-666.261447082972,389.677205000073,1414.4
"M1748",314.263203810027,-382.847476139665,1127.6
"M1751",320.487346736016,-373.657704040408,1137.06
"M1753",-664.699727896019,389.21256059967,1420.65
"M1754",257.453466820007,-390.94910611026,1132.58
"M1757",-921.452722948976,474.997310309671,1426.95
"M1758",-673.116949243005,390.104358370416,1414.49
"M1759",108.258246365993,-413.739191779867,1140.73
"M1760",307.617703984026,-380.34916825965,1132.9
"M1761",158.637315955013,-402.50965801999,1140.18
"M1762",256.142239482026,-393.191440129653,1129.44
"M1764",360.305616440019,-381.517414459959,1133.57
"M1765",-227.925420549989,-520.726370249875,1147.12
"M1766",257.14275444299,-390.160623090342,1131.45
"M1767",-93.7987192110159,-474.793371300213,1148.31
"M1769",71.0595943860244,-413.133578170091,1144.5
"M1770",354.655689010979,-379.14651430957,1139.16
"K0448",15.6300574020133,-457.494823929854,1141.09
"M1773",486.362434067996,-374.662252750248,1133.68
"M1775",333.53946065699,-373.158088089898,1137.3
"M1776",-244.552000864991,-527.87008749973,1149.14
"M1777",259.368054172024,-391.960389840417,1129.19
"M1778",-48.8064259670209,-466.791584289633,1148.72
"M1779",-668.065396728984,389.038446109742,1419.3
"M1780",259.114148689026,-393.453478690237,1128.32
"M1781",-47.8041999359848,-469.42546708975,1147.67
"M1783",-672.336064961972,390.893139869906,1416.45
"M1785",-82.8264821480261,-472.099779170007,1144.67
"M1786",-319.122718845028,-578.195665130392,1151.44
"M1787",26.0560216429876,-435.649072090164,1142.72
"M1788",256.719995084975,-391.478647050448,1133.2
"M1791",-308.33660464501,-576.595340579748,1148.51
"M1792",251.543428795005,-391.925670829602,1129.51
"M1795",141.183626397979,-394.884604520164,1143.01
"M1796",115.611093282991,-413.98883247003,1140.42
"M1799",67.4273873760249,-428.323507229798,1139.79
"K1156",27.5676724169753,-433.102458240464,1150.43
"M1801",-131.602437825,405.61020493973,1364.38
"M1802",349.080143822008,-382.191186210141,1134.45
"M1803",310.119698471972,-379.440082870424,1132.9
"M1805",239.832401663007,-378.979341530241,1140.44
"M1806",691.709519615979,-433.460301119834,1134.06
"M1807",328.995729018003,-380.874647639692,1131.67
"M1808",-139.29149596201,568.831614989787,1375.02
"M1809",-123.460237130988,594.278532570228,1373.57
"M1813",-142.679488695983,573.061730059795,1372.75
"M1814",477.808120411006,-373.199589540251,1132.5
"M1815",342.790473627974,-382.215360820293,1129.35
"M1818",342.822310585005,-381.785943520255,1129.7
"M1819",-133.538011246012,569.580774829723,1375.75
"M1821",237.097667282971,-377.499428129755,1145.25
"M1823",282.765341827006,-374.96870524995,1134.96
"K0631",59.0453739379882,-404.080380620435,1145.6
"M1826",234.35029686999,-371.615152720362,1144.55
"M1828",-131.260022517003,509.685692819767,1372.59
"M1829",240.075279635028,-371.943652279675,1138.33
"M1830",307.451949780982,-372.550590350293,1137.68
"M1831",-161.115325786988,-487.31709745992,1157.33
"M1832",-49.7257155739935,-459.346822770312,1147.04
"M1833",343.574577903026,-380.729111920111,1126.55
"M1834",304.90072465199,-373.432490349747,1134.73
"M1835",-127.507206869021,-477.800458810292,1144.35
"M1837",-219.575858842989,-514.292031669989,1149.35
"K0422",22.1282382059726,-437.611985609867,1146.56
"M1839",271.194081433991,-377.082254519686,1140.42
"M1840",-139.512470846996,328.209066280164,1359.07
"M1841",690.192146643996,-429.171903830022,1135.81
"M1843",206.003445806971,-365.261543519795,1143.19
"M1846",216.553613414988,-362.477409870364,1143.4
"M1847",224.187071924971,-367.157521479763,1146.59
"M1849",274.820029061986,-375.44242318999,1139.1
"M1850",350.390312645992,-381.705626839772,1130.2
"M1851",315.285972521,-383.676972390153,1139.28
"M1852",326.916102960007,-387.184201570228,1126.77
"M1856",-1185.57549421501,573.903563239612,1438.77
"M1858",207.234222816012,-367.610245459713,1141.94
"M1861",-1145.38890419097,559.241447580047,1431.16
"M1862",-1185.65004149301,573.688948240131,1434.04
"M1863",-1080.73189514602,541.362649019808,1426.6
"M1864",333.525222719996,-392.339511579834,1121.05
"M1865",-1127.87149706698,568.299901840277,1439.26
"M1866",-1146.85300744697,560.564653120004,1430.88
"M1867",-1132.51853708201,566.376661029644,1436.96
"M1868",-1203.15044158598,570.754869789816,1438.1
"M1869",-1082.34756589198,539.714697020128,1425.5
"M1870",-1164.72780772799,564.132155509666,1431.3
"M1871",316.955945625028,-382.451278960332,1134.08
"M1872",-1130.22165118798,567.601763689891,1438.98
"M1874",326.777266829973,-385.223787330091,1130.39
"M1875",315.204110499006,-384.198019649833,1126.35
"M1876",-1011.37480764498,507.479251880199,1423.8
"M1877",-1186.42952242203,573.568729690276,1436.21
"M1879",-1163.65157451102,564.838780160062,1430.33
"M1880",329.869634534989,-388.345512259752,1128.16
"M1881",533.993315230007,-52.9483510600403,1292.46
"K1920",540.161786217999,-58.7783432500437,1297.51
"M1883",535.600589810987,-55.7374802101403,1294.88
"M1885",532.942587659985,-49.4034246699885,1301.48
"M1886",489.173577694979,-58.8168523199856,1298.39
"M1889",513.134002805979,-51.7538880398497,1294.14
"M1890",499.580621253001,-55.924153120257,1296.63
"M1891",501.544564546028,-49.1402316698804,1296.48
"M1892",475.989050897013,-67.5407504001632,1297.46
"M1894",337.820229512989,-396.530316860415,1117.92
"M1895",433.278885070002,-81.9069645702839,1302.35
"K1928",445.573426892981,-76.5738709997386,1305.58
"K1390",339.557581913017,-398.424726479687,1120.3
"M1899",435.386442488991,-81.8231170503423,1302.88
"M1901",347.742655990995,-406.730877200142,1110.76
"M1903",538.236951182014,-56.3078339397907,1295.61
"M1904",336.701260928996,-395.596507879905,1117.33
"M1905",541.874721369008,-57.8218013998121,1296.24
"M1906",475.245527729974,-67.4716480495408,1300.48
"M1908",361.484419513028,-69.5743366703391,1311.38
"M1909",312.897282784979,-382.734979559667,1129.33
"M1910",312.567744007974,-382.543741780333,1129.12
"M1911",313.602742862015,-382.76815082971,1129.45
"M1912",306.024885436986,-381.374694460072,1132.5
"M1913",431.44701505499,-78.4613041402772,1306.07
"M1915",312.785613128974,-382.171861370094,1128.96
"M1916",470.357312482025,-65.3144978396595,1301.95
"M1917",430.731949807028,-81.0066096996889,1305.03
"K2033",251.474671437987,-388.083723899908,1135.44
"M1920",312.733606125985,-381.852586840279,1129.08
"M1922",281.229235548992,-390.02150235977,1134.8
"M1923",263.050447751011,-390.565484230407,1130.58
"M1924",258.536976311007,-393.125188260339,1131.19
"M1925",270.279442212021,-391.817510359921,1131.51
"M1926",265.026041826,-394.361437819898,1128.8
"M1927",306.355705638009,-384.251123200171,1132.95
"M1929",278.474218496995,-388.488082200289,1127.97
"M1930",262.706560976978,-395.050383630209,1131.97
"M1931",305.784313048993,-384.790195750073,1131.8
"M1932",250.037438108004,-388.034851900302,1131.9
"M1934",306.565104437992,-381.23395239003,1132.23
"M1935",425.245178235986,-80.4420765703544,1310.51
"M1936",340.078671243973,-399.916202330031,1115.61
"M1938",337.533323452983,-396.511667920277,1117.59
"M1939",307.755635411013,-385.066932179965,1130.01
"M1940",310.495551934,-381.132100369781,1129.86
"M1941",313.399336612027,-382.663785370067,1129.86
"M1942",312.322336576006,-381.789282489568,1129.91
"M1943",274.202683930984,-395.771128459834,1127.31
"M1944",256.120431402,-394.338345539756,1129.63
"M1945",264.657924623985,-393.554565990344,1130.04
"M1946",283.360482515011,-389.592590689659,1132.38
"M1947",346.318041084975,-405.933687980287,1112.65
"M1948",307.124735996011,-382.505969819613,1133.06
"M1949",305.017733155983,-383.901281479746,1131.43
"M1950",310.556604952028,-381.095003879629,1130.74
"M1951",-1722.68535857397,-94.4314119899645,1213.66
"M1953",339.159456069989,-390.217196960002,1138.25
"M1954",-1730.05323168199,-98.2574351504445,1207.34
"M1955",-1647.13606370101,-63.1643688604236,1220.61
"M1956",-1730.758092526,-101.726591209881,1208.94
"M1958",-1595.26227786898,-52.9034917904064,1217.45
"M1959",-1637.85466309899,-61.0152508802712,1221.53
"M1961",-1718.729965551,-109.021823990159,1212.89
"M1963",335.312741346017,-387.155060240068,1129.12
"M1967",357.162159027008,-393.863232280128,1122.53
"M1972",299.841900991974,-385.515478859656,1131.12
"M1977",-1601.06147251202,-52.3383464002982,1210.95
"M1978",301.950218699989,-384.143503339961,1132.23
"M1982",-1601.35422313702,-53.2346071703359,1220.24
"M1983",-1602.09074924799,-41.3007494201884,1213.14
"M1984",327.383113298973,-383.014901390299,1132.22
"M1985",302.311337553023,-385.651019760408,1128.93
"M1989",-1723.15820037603,-94.2684687403962,1211.98
"M1990",-1696.06357437698,-75.8684815596789,1211.64
"M1996",-1617.51631103398,-45.3129299199209,1211.5
"M1998",-1722.71252192598,-94.8664275500923,1211.08
"M1999",-1713.92620295502,-97.0339882997796,1287.99
"M2013",349.090359368012,-388.838718400337,1127.32
"M2016",360.600263567991,-390.060303750448,1130.42
"M2018",358.112005568983,-394.044515459798,1122.31
"M2025",427.043558844016,-79.1677730903029,1307.78
"J0416",349.999133835023,-68.0909289000556,1307.37
"M2032",337.495288831007,-59.1061969995499,1306.86
"M2036",358.851740878017,-69.4414912499487,1313.34
"M2039",290.703495890019,-55.5206712801009,1313
"M2040",359.372286203026,-71.2860985696316,1306.98
"M2041",285.884800205997,-54.5445999195799,1316.59
"M2043",330.555021629028,-59.9972786502913,1310.64
"M2044",425.641362214985,-78.749519130215,1310.65
"M2046",353.065690362011,-67.9319660095498,1310.89
"M2048",336.988701340975,-59.8503035902977,1307.11
"M2049",334.321744834015,-58.7498367000371,1307.81
"M0469",1045.41014335898,-576.148004829884,1152.3
"M0476",-79.1380114629865,-243.587493799627,1294.26
"M0149",631.085200296016,-452.508908160031,1136.97
"M0433",1199.41814144701,-555.171761759557,1156.07
