iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
3010		3.169	-3264.939	-28.822	-3236.117	0.128	0.796	9.474	0.448
3020		3.18	-3261.446	-27.216	-3234.23	0.162	0.796	14.838	0.485
3030		3.19	-3260.727	-27.478	-3233.25	0.184	0.819	16.335	0.48
3040		3.201	-3260.796	-26.85	-3233.945	0.22	0.79	18.87	0.503
3050		3.212	-3262.876	-27.761	-3235.115	0.233	0.794	14.05	0.486
3060		3.222	-3260.748	-27.94	-3232.808	0.239	0.788	16.456	0.479
3070		3.233	-3260.748	-27.94	-3232.808	0.239	0.788	16.456	0.479
3080		3.243	-3260.748	-27.94	-3232.808	0.239	0.788	16.456	0.479
3090		3.254	-3261.63	-27.413	-3234.217	0.253	0.796	16.682	0.499
3100		3.265	-3262.338	-25.991	-3236.348	0.239	0.811	21.727	0.533
3110		3.275	-3262.473	-27.904	-3234.569	0.245	0.756	14.735	0.484
3120		3.286	-3262.207	-28.085	-3234.122	0.239	0.805	13.796	0.478
3130		3.297	-3262.207	-28.085	-3234.122	0.239	0.805	13.796	0.478
3140		3.307	-3261.934	-28.891	-3233.043	0.25	0.769	14.714	0.457
3150		3.318	-3260.712	-28.877	-3231.835	0.234	0.79	14.519	0.453
3160		3.328	-3261.164	-28.821	-3232.343	0.26	0.787	15.787	0.461
3170		3.339	-3261.164	-28.821	-3232.343	0.26	0.787	15.787	0.461
3180		3.349	-3261.187	-28.284	-3232.903	0.313	0.803	17.7	0.494
3190		3.36	-3261.129	-29.234	-3231.895	0.319	0.812	15.579	0.471
3200		3.37	-3261.129	-29.234	-3231.895	0.319	0.812	15.579	0.471
3210		3.381	-3262.387	-29.569	-3232.818	0.374	0.819	16.926	0.484
3220		3.391	-3262.495	-28.681	-3233.813	0.355	0.779	20.609	0.498
3230		3.402	-3263.093	-28.033	-3235.06	0.335	0.767	20.706	0.508
3240		3.412	-3262.132	-29.143	-3232.988	0.277	0.774	13.766	0.46
3250		3.423	-3263.31	-29.499	-3233.811	0.298	0.755	13.847	0.457
3260		3.433	-3265.578	-29.661	-3235.918	0.266	0.737	13.245	0.443
3270		3.444	-3260.218	-27.561	-3232.657	0.214	0.799	18.831	0.481
3280		3.454	-3260.817	-27.49	-3233.327	0.218	0.795	17.665	0.485
3290		3.465	-3262.929	-25.783	-3237.146	0.157	0.742	21.006	0.521
3300		3.475	-3262.594	-26.178	-3236.416	0.156	0.749	18.888	0.511
3310		3.485	-3261.464	-26.492	-3234.971	0.102	0.812	19.68	0.5
