iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
2560		2.591	-3257.278	-13.97	-3243.308	0.276	0.774	43.395	0.607
2570		2.601	-3255.427	-13.647	-3241.78	0.213	0.734	40.974	0.597
2580		2.611	-3256.092	-13.008	-3243.084	0.142	0.733	42.777	0.603
2590		2.621	-3256.0	-13.39	-3242.609	0.207	0.734	38.925	0.641
2600		2.631	-3254.631	-13.343	-3241.288	0.213	0.77	44.173	0.597
2610		2.641	-3255.718	-13.32	-3242.399	0.276	0.735	46.796	0.642
2620		2.651	-3258.511	-12.5	-3246.012	0.233	0.738	51.8	0.635
2630		2.661	-3256.22	-12.411	-3243.809	0.242	0.762	52.724	0.648
2640		2.671	-3256.22	-12.411	-3243.809	0.242	0.762	52.724	0.648
2650		2.681	-3255.485	-12.329	-3243.156	0.244	0.772	53.386	0.654
2660		2.691	-3255.485	-12.329	-3243.156	0.244	0.772	53.386	0.654
2670		2.702	-3255.485	-12.329	-3243.156	0.244	0.772	53.386	0.654
2680		2.712	-3255.485	-12.329	-3243.156	0.244	0.772	53.386	0.654
2690		2.722	-3257.349	-12.111	-3245.239	0.2	0.795	48.015	0.684
2700		2.732	-3257.337	-11.681	-3245.656	0.184	0.699	47.028	0.733
2710		2.742	-3258.656	-12.892	-3245.764	0.233	0.738	48.973	0.617
2720		2.752	-3259.416	-11.882	-3247.534	0.185	0.82	48.251	0.699
2730		2.762	-3260.118	-12.248	-3247.87	0.146	0.801	49.662	0.621
2740		2.772	-3255.692	-12.004	-3243.689	0.155	0.771	51.308	0.635
2750		2.782	-3256.565	-11.045	-3245.52	0.145	0.741	54.205	0.72
2760		2.792	-3261.048	-11.645	-3249.403	0.165	0.737	55.844	0.642
2770		2.803	-3259.029	-11.174	-3247.855	0.19	0.76	53.001	0.745
2780		2.813	-3256.761	-11.305	-3245.456	0.164	0.741	55.763	0.682
2790		2.823	-3258.992	-10.813	-3248.179	0.136	0.735	58.473	0.709
2800		2.833	-3256.439	-11.9	-3244.539	0.159	0.762	47.065	0.689
2810		2.843	-3255.158	-12.359	-3242.799	0.183	0.766	48.824	0.633
2820		2.853	-3259.02	-11.37	-3247.651	0.184	0.792	54.422	0.701
2830		2.863	-3254.752	-12.66	-3242.092	0.19	0.742	45.908	0.632
2840		2.873	-3254.8	-13.676	-3241.124	0.238	0.695	39.533	0.632
2850		2.883	-3254.242	-14.208	-3240.034	0.168	0.693	33.761	0.591
2860		2.893	-3255.818	-13.302	-3242.516	0.148	0.754	35.745	0.655
2870		2.904	-3254.056	-13.663	-3240.393	0.149	0.779	34.814	0.628
2880		2.914	-3255.469	-13.347	-3242.123	0.112	0.761	37.306	0.627
2890		2.924	-3254.348	-14.558	-3239.789	0.179	0.781	31.726	0.592
2900		2.934	-3253.641	-14.791	-3238.85	0.145	0.765	30.604	0.57
2910		2.944	-3253.933	-14.935	-3238.998	0.169	0.764	31.434	0.555
2920		2.954	-3253.525	-15.104	-3238.42	0.175	0.787	28.588	0.581
2930		2.964	-3252.3	-16.652	-3235.648	0.143	0.781	23.238	0.516
2940		2.974	-3252.463	-16.58	-3235.883	0.158	0.807	23.405	0.523
2950		2.984	-3251.936	-16.524	-3235.412	0.155	0.794	23.493	0.525
2960		2.995	-3252.013	-16.947	-3235.067	0.186	0.787	22.767	0.515
2970		3.005	-3252.208	-16.643	-3235.565	0.21	0.792	24.497	0.527
2980		3.015	-3252.208	-16.643	-3235.565	0.21	0.792	24.497	0.527
2990		3.025	-3254.055	-17.421	-3236.634	0.223	0.754	22.452	0.505
3000		3.035	-3253.645	-17.639	-3236.006	0.186	0.797	19.149	0.524
3010		3.045	-3255.08	-21.396	-3233.684	0.22	0.763	11.487	0.443
3020		3.055	-3254.233	-20.447	-3233.786	0.184	0.791	13.696	0.433
3030		3.065	-3252.473	-20.263	-3232.21	0.203	0.799	13.503	0.458
3040		3.075	-3252.857	-18.705	-3234.152	0.192	0.777	17.126	0.484
3050		3.086	-3252.897	-18.627	-3234.27	0.145	0.772	17.251	0.47
3060		3.096	-3252.07	-19.001	-3233.07	0.143	0.787	16.183	0.465
3070		3.106	-3252.07	-19.001	-3233.07	0.143	0.787	16.183	0.465
3080		3.116	-3252.378	-19.351	-3233.026	0.168	0.789	15.274	0.466
3090		3.126	-3252.156	-18.303	-3233.854	0.211	0.787	18.693	0.495
3100		3.136	-3251.347	-18.015	-3233.332	0.223	0.79	20.392	0.494
3110		3.146	-3253.353	-16.643	-3236.71	0.191	0.807	23.008	0.54
3120		3.156	-3253.586	-15.583	-3238.003	0.168	0.806	26.647	0.563
3130		3.166	-3252.835	-15.838	-3236.996	0.183	0.78	26.717	0.546
3140		3.176	-3254.162	-14.797	-3239.365	0.174	0.788	30.234	0.586
3150		3.186	-3253.232	-15.909	-3237.323	0.183	0.767	25.86	0.552
3160		3.197	-3253.409	-15.732	-3237.676	0.182	0.807	26.488	0.559
3170		3.207	-3253.791	-14.815	-3238.977	0.221	0.775	34.102	0.567
3180		3.217	-3253.48	-16.742	-3236.738	0.262	0.822	25.466	0.548
3190		3.227	-3253.515	-17.005	-3236.511	0.297	0.776	26.911	0.54
3200		3.237	-3254.774	-17.336	-3237.438	0.303	0.756	25.536	0.539
3210		3.247	-3254.363	-16.93	-3237.434	0.319	0.812	27.768	0.563
3220		3.258	-3253.147	-16.605	-3236.543	0.282	0.806	27.624	0.549
3230		3.268	-3256.183	-16.322	-3239.862	0.249	0.711	28.171	0.531
3240		3.278	-3253.658	-16.275	-3237.383	0.241	0.748	25.472	0.568
3250		3.288	-3252.82	-16.406	-3236.414	0.259	0.785	27.361	0.546
3260		3.298	-3252.763	-16.864	-3235.899	0.287	0.79	27.702	0.531
3270		3.308	-3252.805	-16.232	-3236.573	0.248	0.782	27.061	0.555
3280		3.318	-3254.355	-15.204	-3239.152	0.188	0.8	28.604	0.579
3290		3.328	-3258.37	-16.107	-3242.263	0.234	0.87	30.614	0.511
3300		3.338	-3257.539	-13.904	-3243.634	0.247	0.826	37.862	0.642
3310		3.348	-3255.622	-15.594	-3240.028	0.337	0.786	36.824	0.597
3320		3.358	-3257.447	-16.155	-3241.292	0.294	0.863	32.35	0.544
3330		3.368	-3254.94	-15.628	-3239.312	0.244	0.776	32.057	0.539
3340		3.378	-3253.305	-16.188	-3237.116	0.229	0.797	26.004	0.558
3350		3.389	-3254.137	-15.774	-3238.362	0.225	0.825	27.69	0.568
3360		3.399	-3254.137	-15.774	-3238.362	0.225	0.825	27.69	0.568
3370		3.409	-3256.231	-16.484	-3239.747	0.279	0.74	25.342	0.591
3380		3.419	-3255.08	-16.932	-3238.148	0.286	0.683	26.335	0.541
3390		3.429	-3255.162	-15.241	-3239.922	0.241	0.729	29.926	0.598
3400		3.439	-3255.525	-15.12	-3240.406	0.227	0.722	29.955	0.596
3410		3.449	-3254.99	-14.886	-3240.105	0.17	0.724	29.104	0.59
3420		3.459	-3253.731	-14.734	-3238.997	0.222	0.766	31.695	0.606
3430		3.469	-3254.225	-14.27	-3239.955	0.222	0.774	33.802	0.626
3440		3.479	-3255.32	-16.469	-3238.852	0.268	0.749	28.151	0.537
3450		3.489	-3254.581	-16.201	-3238.38	0.221	0.733	25.581	0.555
3460		3.5	-3254.581	-16.201	-3238.38	0.221	0.733	25.581	0.555
