"id","flower_colour","rosea","sulfurea"
"M0379","WR","R/r","S/+"
"M0381","FR","R/R","S/+"
"M0383","Ye","r/r","s/s"
"M0384","WR","R/r","S/+"
"M0385","WO","R/r","s/s"
"M0388","WR","R/r","S/+"
"M0390","FO","R/R","s/s"
"M0393","FR","R/R","S/+"
"M0395","FR","R/R","S/+"
"M0401","WO","R/r","s/s"
"M0402","FR","R/R","S/+"
"K0464","FR","R/R","S/+"
"M0405","FR","R/R","S/+"
"M0411","FO","R/R","s/s"
"M0413","Ye","r/r","s/s"
"M0415","FR","R/R","S/+"
"M0416","Wh","r/r","S/+"
"M0417","WO","R/r","s/s"
"M0418","FO","R/R","s/s"
"M0419","Ye","r/r","s/s"
"M0420","Ye","r/r","s/s"
"M0421","FO","R/R","s/s"
"M0423","FR","R/R","S/+"
"M0424","WO","R/r","s/s"
"K1211","WR","R/r","S/+"
"M0427","FR","R/R","S/+"
"M0428","FR","R/R","S/+"
"M0429","WR","R/r","S/+"
"M0430","WO","R/r","s/s"
"M0431","WR","R/r","S/+"
"M0434","WR","R/r","S/+"
"M0435","FR","R/R","S/+"
"M0437","FR","R/R","S/+"
"M0439","FO","R/R","s/s"
"M0440","FR","R/R","S/+"
"M0441","FR","R/R","S/+"
"M0443","FR","R/R","S/+"
